CustomerID,Tenure-Months,Orders-12Mos,Avg-Order-Value,Discount-Usage-Rate,Days-Since-Last-Purchase,Referral-Count,Target-Value,Target-Ref
1001,17,2,22,0.72,29,0,1,Occasional Buyer
1002,54,8,68,0.205,18,3,3,Loyal Customer
1003,3,2,33,0.866,28,0,0,New Customer
1004,4,3,62,0.32,33,1,1,Occasional Buyer
1005,3,1,39,0.573,57,0,0,New Customer
1006,32,14,102,0.082,13,7,4,Brand Advocate
1007,27,11,65,0.277,14,2,3,Loyal Customer
1008,17,4,93,0.51,41,0,2,Repeat Buyer
1009,2,1,35,0.747,37,1,0,New Customer
1010,40,9,96,0.161,24,2,3,Loyal Customer
1011,3,1,45,0.531,93,1,0,New Customer
1012,40,10,108,0.061,20,7,4,Brand Advocate
1013,4,5,19,0.549,47,1,1,Occasional Buyer
1014,37,12,105,0.213,9,4,3,Loyal Customer
1015,42,13,79,0.209,13,4,3,Loyal Customer
1016,61,15,146,0.054,1,6,4,Brand Advocate
1017,63,15,100,0.105,6,7,4,Brand Advocate
1018,4,4,26,0.588,112,0,0,New Customer
1019,13,8,50,0.485,58,2,2,Repeat Buyer
1020,26,8,100,0.484,44,0,2,Repeat Buyer
1021,64,14,150,0.055,9,4,4,Brand Advocate
1022,5,2,24,0.423,68,0,0,New Customer
1023,47,11,64,0.109,20,4,3,Loyal Customer
1024,43,17,142,0.063,25,8,4,Brand Advocate
1025,20,8,78,0.227,43,0,2,Repeat Buyer
1026,12,7,52,0.462,23,0,2,Repeat Buyer
1027,38,10,165,0.0,1,3,4,Brand Advocate
1028,25,10,87,0.246,8,4,3,Loyal Customer
1029,4,5,59,0.616,62,1,1,Occasional Buyer
1030,2,2,30,0.822,104,0,0,New Customer
1031,78,13,105,0.0,17,3,4,Brand Advocate
1032,23,8,82,0.488,60,2,2,Repeat Buyer
1033,32,10,104,0.133,24,3,3,Loyal Customer
1034,3,1,45,0.453,59,0,0,New Customer
1035,29,7,90,0.239,12,4,3,Loyal Customer
1036,18,13,77,0.084,11,4,3,Loyal Customer
1037,42,17,158,0.118,1,2,4,Brand Advocate
1038,14,1,40,0.431,35,0,1,Occasional Buyer
1039,18,3,48,0.299,42,0,1,Occasional Buyer
1040,5,3,55,0.91,85,0,0,New Customer
1041,55,17,100,0.059,6,7,4,Brand Advocate
1042,77,9,183,0.166,10,8,4,Brand Advocate
1043,61,16,176,0.126,5,5,4,Brand Advocate
1044,6,5,44,0.563,62,1,1,Occasional Buyer
1045,73,17,161,0.095,6,7,4,Brand Advocate
1046,13,5,61,0.492,27,0,1,Occasional Buyer
1047,54,14,156,0.143,9,3,4,Brand Advocate
1048,35,6,62,0.564,43,1,2,Repeat Buyer
1049,60,10,88,0.236,24,3,3,Loyal Customer
1050,2,3,49,0.464,81,0,0,New Customer
1051,2,1,26,0.422,95,1,0,New Customer
1052,70,12,142,0.172,7,2,4,Brand Advocate
1053,3,4,45,0.527,59,1,0,New Customer
1054,36,8,73,0.228,7,2,3,Loyal Customer
1055,16,1,51,0.469,80,0,1,Occasional Buyer
1056,12,8,91,0.298,52,0,2,Repeat Buyer
1057,18,5,88,0.329,22,2,2,Repeat Buyer
1058,9,3,62,0.473,77,1,1,Occasional Buyer
1059,43,17,96,0.065,10,2,4,Brand Advocate
1060,52,9,136,0.354,30,2,3,Loyal Customer
1061,25,11,77,0.127,4,5,3,Loyal Customer
1062,58,11,151,0.087,4,6,4,Brand Advocate
1063,5,4,44,0.871,54,0,0,New Customer
1064,84,19,138,0.12,12,5,4,Brand Advocate
1065,35,7,107,0.12,20,2,3,Loyal Customer
1066,54,9,71,0.278,19,3,3,Loyal Customer
1067,56,8,100,0.261,4,2,3,Loyal Customer
1068,14,4,54,0.438,22,3,2,Repeat Buyer
1069,10,3,67,0.329,83,1,1,Occasional Buyer
1070,20,12,107,0.209,8,1,3,Loyal Customer
1071,4,1,23,0.513,45,0,0,New Customer
1072,19,6,70,0.386,21,2,2,Repeat Buyer
1073,45,17,143,0.06,4,4,4,Brand Advocate
1074,51,19,169,0.072,10,2,4,Brand Advocate
1075,37,10,113,0.009,24,2,3,Loyal Customer
1076,1,1,48,0.445,81,1,0,New Customer
1077,24,7,62,0.21,37,0,2,Repeat Buyer
