CustomerID,Avg-Order-Value,Tenure-Months,Orders-12Mos,Coupons-Issued-12Mos,Discount-Usage-Rate,Days-Since-Last-Purchase,Referral-Count,Website-Logins-30D,Website-Visit-Time-Min,Paid-Ads-Responses-12Mos,Apparel-Orders-12Mos,Home-Goods-Orders-12Mos,Electronics-Orders-12Mos,Target-Value,Target-Ref
1001,70,9,5,11,0.715,4,1,6,12,3,2,2,1,1,Discount-Responsive
1002,72,27,6,4,0.767,14,1,8,8,2,2,4,0,1,Discount-Responsive
1003,43,27,3,6,0.219,43,1,3,7,0,1,2,0,0,Considering Purchase
1004,65,7,8,6,0.743,1,2,4,14,2,4,2,2,1,Discount-Responsive
1005,45,7,5,4,0.206,19,2,5,11,1,1,4,0,0,Considering Purchase
1006,44,6,2,6,0.229,27,1,2,13,2,0,1,1,0,Considering Purchase
1007,40,3,6,4,0.206,30,2,7,6,0,2,2,2,0,Considering Purchase
1008,45,13,5,3,0.216,48,1,3,5,2,1,2,2,0,Considering Purchase
1009,141,44,5,0,0.208,14,7,10,18,3,2,0,3,3,Advocate Likely
1010,43,7,2,1,0.239,49,1,4,4,2,2,0,0,0,Considering Purchase
1011,42,21,2,0,0.217,24,2,6,17,1,0,2,0,0,Considering Purchase
1012,41,14,6,1,0.207,20,1,4,15,1,3,3,0,0,Considering Purchase
1013,110,57,8,1,0.097,18,2,8,36,2,0,1,7,2,Ready to Buy
1014,40,19,5,4,0.23,38,2,4,16,5,1,3,1,0,Considering Purchase
1015,44,19,6,2,0.221,33,1,5,6,0,3,3,0,0,Considering Purchase
1016,45,22,1,6,0.214,44,1,3,6,1,1,0,0,0,Considering Purchase
1017,139,83,10,4,0.217,12,8,9,21,3,2,5,3,3,Advocate Likely
1018,44,6,4,5,0.231,38,1,6,14,1,1,2,1,0,Considering Purchase
1019,45,16,2,6,0.218,35,1,7,10,4,0,2,0,0,Considering Purchase
1020,45,18,5,5,0.22,16,1,1,9,1,0,5,0,0,Considering Purchase
1021,110,47,5,4,0.062,1,1,13,32,1,2,1,6,2,Ready to Buy
1022,65,25,5,6,0.764,5,1,9,11,6,1,4,0,1,Discount-Responsive
1023,44,26,6,1,0.248,37,2,4,14,4,2,4,0,0,Considering Purchase
1024,64,17,7,10,0.74,3,2,8,21,3,4,3,0,1,Discount-Responsive
1025,44,12,5,3,0.232,33,2,3,7,2,2,2,1,0,Considering Purchase
1026,43,18,3,4,0.194,32,2,4,9,2,2,1,0,0,Considering Purchase
1027,70,11,7,10,0.78,7,2,8,10,8,6,1,0,1,Discount-Responsive
1028,71,17,7,6,0.708,20,1,4,13,2,5,1,1,1,Discount-Responsive
1029,64,24,5,5,0.749,8,1,6,18,4,3,1,1,1,Discount-Responsive
1030,70,36,4,7,0.709,14,1,8,6,2,0,3,1,1,Discount-Responsive
1031,45,18,2,5,0.218,33,1,3,14,3,0,2,0,0,Considering Purchase
1032,40,23,2,2,0.248,22,1,6,14,1,1,1,0,0,Considering Purchase
1033,141,46,5,4,0.205,19,8,5,18,3,0,0,5,3,Advocate Likely
1034,41,22,3,1,0.216,18,1,4,4,4,0,2,1,0,Considering Purchase
1035,42,24,7,7,0.246,25,2,4,9,1,2,3,2,0,Considering Purchase
1036,42,19,3,5,0.217,47,2,6,16,3,0,3,0,0,Considering Purchase
1037,145,36,9,3,0.227,10,8,11,21,3,1,0,8,3,Advocate Likely
1038,67,33,8,9,0.74,18,1,7,10,4,6,2,0,1,Discount-Responsive
1039,107,22,13,5,0.091,16,1,7,32,5,1,0,12,2,Ready to Buy
1040,106,20,8,2,0.09,8,1,12,37,3,0,2,8,2,Ready to Buy
1041,68,17,4,7,0.78,8,1,6,22,3,3,0,1,1,Discount-Responsive
1042,110,14,9,5,0.068,17,1,9,37,0,0,2,7,2,Ready to Buy
1043,43,6,5,0,0.22,39,1,2,14,0,1,2,2,0,Considering Purchase
1044,66,13,5,7,0.759,7,1,5,7,3,3,2,0,1,Discount-Responsive
1045,43,26,3,6,0.228,28,2,5,9,4,2,1,0,0,Considering Purchase
1046,45,7,4,5,0.221,16,2,3,12,3,1,1,2,0,Considering Purchase
1047,43,3,4,1,0.245,38,2,5,11,3,0,3,1,0,Considering Purchase
1048,144,60,15,0,0.205,25,8,11,21,4,4,1,10,3,Advocate Likely
1049,41,30,1,6,0.245,37,2,5,4,4,0,1,0,0,Considering Purchase
1050,71,6,3,6,0.753,22,2,9,19,1,2,1,0,1,Discount-Responsive
1051,72,25,7,8,0.767,14,2,3,20,6,7,0,0,1,Discount-Responsive
1052,44,5,5,3,0.21,40,2,4,11,4,2,2,1,0,Considering Purchase
1053,145,33,6,1,0.239,13,8,5,21,4,0,0,6,3,Advocate Likely
1054,45,5,4,2,0.211,30,1,6,4,5,3,1,0,0,Considering Purchase
1055,70,22,8,11,0.71,24,1,6,20,3,3,4,1,1,Discount-Responsive
1056,140,51,15,1,0.229,3,7,5,20,2,0,3,12,3,Advocate Likely
1057,45,17,3,5,0.236,36,2,3,11,1,0,2,1,0,Considering Purchase
1058,67,22,3,12,0.766,22,2,4,19,3,3,0,0,0,Considering Purchase
1059,43,24,4,7,0.241,46,2,4,10,1,0,3,1,0,Considering Purchase
1060,42,17,2,3,0.239,41,1,6,11,5,0,1,1,1,Discount-Responsive
1061,68,22,4,13,0.724,6,1,5,22,2,3,0,1,1,Discount-Responsive
1062,64,8,4,10,0.723,25,2,3,3,4,3,1,0,1,Discount-Responsive
1063,64,28,5,5,0.751,24,1,4,10,2,2,2,1,1,Discount-Responsive
1064,72,31,3,10,0.751,12,2,5,9,6,1,2,0,1,Discount-Responsive
1065,44,25,3,4,0.229,42,1,5,14,2,1,2,0,0,Considering Purchase
1066,110,57,11,0,0.078,13,2,11,32,2,0,3,8,2,Ready to Buy
1067,72,27,7,10,0.714,15,1,5,7,3,4,2,1,1,Discount-Responsive
1068,105,52,12,1,0.066,14,2,8,32,1,2,0,10,2,Ready to Buy
1069,44,10,3,5,0.217,17,2,3,17,0,1,1,1,0,Considering Purchase
1070,43,25,5,2,0.198,17,1,3,14,1,0,5,0,0,Considering Purchase
1071,105,12,8,4,0.07,24,2,6,36,4,0,2,7,2,Ready to Buy
1072,108,47,5,6,0.079,5,1,12,35,1,0,1,6,2,Ready to Buy
1073,65,14,4,7,0.712,25,2,8,5,6,4,0,0,1,Discount-Responsive
1074,65,27,4,5,0.722,20,2,2,9,5,3,1,0,1,Discount-Responsive
