CustomerID,Avg-Order-Value,Tenure-Months,Orders-12Mos,Coupons-Issued-12Mos,Discount-Usage-Rate,Days-Since-Last-Purchase,Referral-Count,Website-Logins-30D,Website-Visit-Time-Min,Paid-Ads-Responses-12Mos,Apparel-Orders-12Mos,Home-Goods-Orders-12Mos,Electronics-Orders-12Mos,Target-Value,Target-Ref
1001,74,29,8,10,0.755,2,0,2,5,6,4,4,0,1,Discount-Responsive
1002,159,70,10,1,0.374,1,5,8,15,3,1,3,6,3,Advocate Likely
1003,20,11,1,2,0.336,14,1,7,11,5,0,1,0,0,Considering Purchase
1004,76,19,8,5,0.486,12,0,2,19,4,6,1,1,1,Discount-Responsive
1005,39,8,7,5,0.11,39,1,6,8,2,1,4,2,0,Considering Purchase
1006,136,50,12,3,0.313,16,4,9,18,3,2,4,6,3,Advocate Likely
1007,89,56,10,3,0.258,17,2,14,39,2,0,3,7,2,Ready to Buy
1008,60,9,7,7,0.76,25,2,4,18,7,5,2,0,1,Discount-Responsive
1009,81,18,8,8,0.266,32,1,3,12,2,0,6,2,0,Considering Purchase
1010,114,48,12,3,0.162,2,2,9,19,1,3,5,4,3,Advocate Likely
1011,34,12,5,3,0.28,31,1,6,22,0,0,4,1,0,Considering Purchase
1012,131,60,4,2,0.037,14,2,4,12,4,0,1,3,3,Advocate Likely
1013,46,21,8,11,0.734,21,1,5,11,7,7,0,1,1,Discount-Responsive
1014,90,40,10,4,0.08,21,3,4,5,0,0,1,9,2,Ready to Buy
1015,75,23,9,1,0.191,6,2,9,26,0,0,2,7,2,Ready to Buy
1016,140,16,10,2,0.023,6,3,8,29,3,1,2,7,3,Advocate Likely
1017,85,67,13,2,0.162,22,3,8,17,2,1,2,10,3,Advocate Likely
1018,37,15,1,4,0.473,14,0,5,7,2,0,1,0,0,Considering Purchase
1019,65,41,9,3,0.117,1,2,10,33,2,1,2,6,2,Ready to Buy
1020,101,49,7,2,0.048,17,1,7,36,0,2,1,4,2,Ready to Buy
1021,127,17,13,2,0.246,19,6,7,15,1,2,2,9,3,Advocate Likely
1022,31,4,3,7,0.166,29,0,8,10,0,1,2,0,0,Considering Purchase
1023,107,17,8,4,0.271,20,1,8,31,4,1,2,5,2,Ready to Buy
1024,119,34,7,1,0.168,13,3,9,28,3,0,0,7,3,Advocate Likely
1025,86,32,6,9,0.816,12,1,3,14,5,5,0,1,1,Discount-Responsive
1026,81,34,6,10,0.635,7,0,4,18,4,4,2,0,1,Discount-Responsive
1027,131,38,7,3,0.203,17,2,8,30,0,3,2,2,3,Advocate Likely
1028,143,57,8,5,0.199,19,2,11,34,0,0,3,5,2,Ready to Buy
1029,64,17,5,1,0.49,23,0,6,15,2,0,5,0,1,Discount-Responsive
1030,41,24,4,4,0.188,35,0,3,9,4,0,1,3,0,Considering Purchase
1031,164,22,7,0,0.031,10,4,7,28,3,1,0,6,3,Advocate Likely
1032,70,19,4,3,0.529,12,0,7,10,5,4,0,0,1,Discount-Responsive
1033,133,13,12,5,0.319,8,4,9,38,5,3,0,9,2,Ready to Buy
1034,44,27,5,5,0.169,47,0,4,18,1,1,4,0,0,Considering Purchase
1035,70,53,9,2,0.003,3,3,7,35,2,1,4,4,3,Advocate Likely
1036,92,27,5,2,0.153,10,1,10,31,2,1,2,2,2,Ready to Buy
1037,83,59,7,2,0.275,5,1,7,17,5,1,3,3,3,Advocate Likely
1038,50,13,4,12,0.458,9,1,6,14,0,2,2,0,1,Discount-Responsive
1039,97,17,9,10,0.742,25,1,5,20,4,2,2,5,1,Discount-Responsive
1040,72,23,2,3,0.38,25,1,3,12,2,0,1,1,0,Considering Purchase
1041,73,21,12,0,0.364,11,7,4,27,1,3,3,6,3,Advocate Likely
1042,103,72,7,1,0.237,19,5,11,15,2,2,0,5,3,Advocate Likely
1043,96,42,12,0,0.0,1,6,10,17,1,1,1,10,3,Advocate Likely
1044,66,12,4,5,0.383,45,1,4,14,2,1,3,0,0,Considering Purchase
1045,114,49,11,0,0.06,1,8,6,25,2,1,0,10,3,Advocate Likely
1046,85,21,7,7,0.516,29,1,6,8,3,5,2,0,1,Discount-Responsive
1047,152,77,11,1,0.25,7,7,4,22,4,4,0,7,3,Advocate Likely
1048,139,14,7,2,0.177,10,3,13,38,2,1,0,6,2,Ready to Buy
1049,102,52,6,2,0.191,13,2,8,25,3,0,0,6,2,Ready to Buy
1050,35,26,3,4,0.357,37,0,4,5,3,0,2,1,0,Considering Purchase
1051,68,27,3,3,0.367,24,0,6,11,0,0,2,1,0,Considering Purchase
1052,154,59,5,3,0.221,4,7,11,33,2,0,2,3,3,Advocate Likely
1053,64,24,2,4,0.281,16,0,3,6,1,0,2,0,0,Considering Purchase
1054,88,37,13,2,0.088,17,5,6,34,2,0,2,11,3,Advocate Likely
1055,35,13,6,12,0.703,12,0,6,13,4,4,1,1,1,Discount-Responsive
