CustomerID,Tenure-Months,Orders-12Mos,Avg-Order-Value,Discount-Usage-Rate,Days-Since-Last-Purchase,Referral-Count,Target-Value,Target-Ref
1001,25,6,65,0.447,14,0,1,Browse Products
1002,55,9,80,0.055,12,2,3,Purchase Full Price
1003,3,3,38,0.144,111,0,0,Ignore Offer
1004,19,4,88,0.275,28,0,1,Browse Products
1005,11,1,18,0.278,125,0,0,Ignore Offer
1006,45,15,127,0.033,2,2,4,Refer a Friend
1007,24,6,115,0.143,12,0,3,Purchase Full Price
1008,24,7,32,0.63,9,1,2,Purchase with Discount
1009,4,2,52,0.544,94,0,0,Ignore Offer
1010,55,9,112,0.246,14,2,3,Purchase Full Price
1011,8,1,47,0.236,78,0,0,Ignore Offer
1012,67,7,124,0.316,21,7,4,Refer a Friend
1013,13,7,46,0.394,24,1,1,Browse Products
1014,43,8,90,0.111,19,2,3,Purchase Full Price
1015,26,8,126,0.197,11,3,3,Purchase Full Price
1016,33,6,95,0.147,21,4,4,Refer a Friend
1017,43,13,136,0.296,7,5,4,Refer a Friend
1018,21,2,34,0.396,79,0,0,Ignore Offer
1019,33,4,61,0.531,25,2,2,Purchase with Discount
1020,22,7,90,0.874,25,0,2,Purchase with Discount
1021,38,11,113,0.258,26,7,4,Refer a Friend
1022,22,4,22,0.495,55,0,0,Ignore Offer
1023,37,7,73,0.096,15,1,3,Purchase Full Price
1024,65,10,69,0.199,12,2,4,Refer a Friend
1025,20,9,41,0.889,7,3,2,Purchase with Discount
1026,15,8,71,0.915,11,1,2,Purchase with Discount
1027,43,6,142,0.274,23,8,4,Refer a Friend
1028,12,10,69,0.237,24,0,3,Purchase Full Price
1029,26,6,66,0.3,44,1,1,Browse Products
1030,3,3,40,0.252,111,1,0,Ignore Offer
1031,43,11,147,0.264,21,6,4,Refer a Friend
1032,17,7,57,0.539,15,0,2,Purchase with Discount
1033,56,8,97,0.112,19,2,3,Purchase Full Price
1034,10,2,36,0.187,39,0,0,Ignore Offer
1035,56,12,84,0.18,14,4,3,Purchase Full Price
1036,38,5,69,0.05,6,0,3,Purchase Full Price
1037,83,13,141,0.258,26,3,4,Refer a Friend
1038,21,4,42,0.396,15,0,1,Browse Products
1039,30,5,24,0.443,27,0,1,Browse Products
1040,5,1,18,0.198,90,1,0,Ignore Offer
1041,63,14,59,0.203,15,4,4,Refer a Friend
1042,40,8,120,0.356,13,5,4,Refer a Friend
1043,54,13,156,0.158,19,4,4,Refer a Friend
1044,26,6,66,0.571,43,1,1,Browse Products
1045,54,8,112,0.08,20,2,4,Refer a Friend
1046,28,4,50,0.414,39,0,1,Browse Products
1047,74,15,65,0.246,7,7,4,Refer a Friend
1048,9,9,76,0.832,11,0,2,Purchase with Discount
1049,26,11,109,0.069,7,3,3,Purchase Full Price
1050,13,2,51,0.482,69,0,0,Ignore Offer
1051,15,3,64,0.369,59,1,0,Ignore Offer
1052,50,9,112,0.358,5,3,4,Refer a Friend
1053,22,4,36,0.07,54,1,0,Ignore Offer
1054,24,7,138,0.052,7,3,3,Purchase Full Price
1055,12,5,75,0.316,32,0,1,Browse Products
1056,11,6,90,0.858,15,2,2,Purchase with Discount
1057,30,4,79,0.73,21,2,2,Purchase with Discount
1058,20,5,84,0.348,21,1,1,Browse Products
1059,81,13,130,0.274,12,5,4,Refer a Friend
1060,25,5,107,0.059,20,1,3,Purchase Full Price
1061,30,4,113,0.015,1,3,3,Purchase Full Price
1062,28,10,66,0.269,17,4,4,Refer a Friend
1063,20,2,37,0.439,60,0,0,Ignore Offer
1064,26,8,115,0.157,18,6,4,Refer a Friend
1065,58,9,127,0.183,8,0,3,Purchase Full Price
1066,36,5,75,0.067,9,0,3,Purchase Full Price
1067,26,13,127,0.145,11,0,3,Purchase Full Price
1068,16,6,57,0.643,8,2,2,Purchase with Discount
1069,13,2,52,0.243,42,0,1,Browse Products
1070,17,11,93,0.249,13,2,3,Purchase Full Price
1071,20,1,58,0.569,80,0,0,Ignore Offer
1072,11,5,58,0.809,1,0,2,Purchase with Discount
1073,65,13,97,0.014,3,7,4,Refer a Friend
1074,26,11,147,0.203,9,6,4,Refer a Friend
1075,21,9,87,0.192,3,2,3,Purchase Full Price
1076,5,3,58,0.409,102,1,0,Ignore Offer
1077,31,7,54,0.858,15,0,2,Purchase with Discount
1078,5,5,77,0.275,27,0,1,Browse Products
1079,21,9,164,0.264,17,8,4,Refer a Friend
1080,7,6,91,0.59,29,0,2,Purchase with Discount
1081,17,13,141,0.283,7,6,4,Refer a Friend
1082,15,5,70,0.926,20,0,2,Purchase with Discount
1083,26,7,73,0.663,28,2,2,Purchase with Discount
1084,52,5,150,0.13,20,2,3,Purchase Full Price
1085,36,5,43,0.564,4,0,2,Purchase with Discount
1086,55,4,146,0.124,4,3,3,Purchase Full Price
1087,6,5,23,0.253,81,1,0,Ignore Offer
1088,72,9,108,0.237,23,5,4,Refer a Friend
1089,59,8,111,0.389,7,3,4,Refer a Friend
1090,28,4,40,0.179,48,0,1,Browse Products
1091,12,4,60,0.889,25,3,2,Purchase with Discount
1092,42,11,148,0.294,7,2,4,Refer a Friend
1093,53,8,107,0.127,11,2,3,Purchase Full Price
1094,14,2,65,0.384,37,0,1,Browse Products
1095,9,2,37,0.411,91,0,0,Ignore Offer
1096,16,8,38,0.813,15,2,2,Purchase with Discount
1097,17,2,44,0.219,32,0,1,Browse Products
1098,72,10,57,0.237,9,4,4,Refer a Friend
1099,16,4,79,0.31,43,1,1,Browse Products
1100,20,7,68,0.677,22,1,2,Purchase with Discount
1101,23,3,26,0.375,29,1,1,Browse Products
1102,58,12,73,0.045,3,2,3,Purchase Full Price
1103,31,10,123,0.161,7,3,3,Purchase Full Price
1104,55,7,128,0.095,26,0,3,Purchase Full Price
1105,24,3,67,0.177,33,1,1,Browse Products
1106,12,5,48,0.881,11,1,2,Purchase with Discount
1107,20,1,18,0.296,102,1,0,Ignore Offer
1108,15,3,68,0.382,69,0,0,Ignore Offer
1109,6,7,33,0.326,25,1,1,Browse Products
1110,12,3,42,0.229,23,0,1,Browse Products
1111,21,2,29,0.467,26,0,1,Browse Products
1112,14,9,35,0.88,25,2,2,Purchase with Discount
1113,49,9,120,0.02,8,2,3,Purchase Full Price
1114,37,9,111,0.108,17,2,3,Purchase Full Price
1115,23,3,49,0.523,4,1,2,Purchase with Discount
1116,61,12,93,0.369,4,8,4,Refer a Friend
1117,40,11,132,0.215,26,0,3,Purchase Full Price
1118,21,4,20,0.162,38,1,1,Browse Products
1119,54,11,114,0.097,18,1,3,Purchase Full Price
1120,38,13,117,0.273,12,8,4,Refer a Friend
1121,27,7,65,0.659,13,1,2,Purchase with Discount
1122,23,2,64,0.372,86,1,0,Ignore Offer
1123,18,5,83,0.605,3,1,2,Purchase with Discount
1124,11,4,33,0.2,28,1,1,Browse Products
1125,32,13,141,0.306,17,5,4,Refer a Friend
1126,24,3,23,0.163,123,0,0,Ignore Offer
1127,16,2,49,0.329,75,0,0,Ignore Offer
1128,3,5,79,0.27,29,0,1,Browse Products
1129,24,1,28,0.529,42,1,1,Browse Products
1130,14,5,52,0.688,22,1,2,Purchase with Discount
1131,27,8,117,0.186,15,0,3,Purchase Full Price
1132,5,5,36,0.336,90,1,0,Ignore Offer
1133,39,6,59,0.092,10,6,4,Refer a Friend
1134,27,3,80,0.392,42,1,1,Browse Products
1135,81,9,147,0.256,12,3,4,Refer a Friend
1136,34,13,135,0.151,20,7,4,Refer a Friend
1137,65,13,129,0.098,2,4,4,Refer a Friend
1138,26,2,26,0.222,21,0,1,Browse Products
1139,15,3,42,0.907,6,2,2,Purchase with Discount
1140,11,3,47,0.356,98,1,0,Ignore Offer
1141,19,15,57,0.283,1,8,4,Refer a Friend
1142,10,2,63,0.229,32,1,1,Browse Products
1143,18,3,28,0.145,85,1,0,Ignore Offer
1144,9,4,63,0.496,14,2,2,Purchase with Discount
1145,12,5,43,0.305,66,1,0,Ignore Offer
1146,23,6,38,0.776,12,0,2,Purchase with Discount
1147,24,14,58,0.102,13,5,4,Refer a Friend
1148,18,1,27,0.569,89,0,0,Ignore Offer
1149,44,8,133,0.209,9,2,3,Purchase Full Price
1150,7,4,61,0.51,9,1,2,Purchase with Discount
1151,53,11,60,0.062,21,8,4,Refer a Friend
1152,7,3,49,0.248,21,0,1,Browse Products
1153,12,10,92,0.213,14,1,3,Purchase Full Price
1154,13,6,54,0.448,29,1,1,Browse Products
1155,52,8,133,0.058,14,2,3,Purchase Full Price
1156,58,12,103,0.081,15,1,3,Purchase Full Price
1157,10,1,46,0.429,58,1,0,Ignore Offer
1158,3,2,28,0.452,94,0,0,Ignore Offer
1159,29,5,59,0.603,22,0,2,Purchase with Discount
1160,10,6,35,0.387,37,1,1,Browse Products
1161,67,13,68,0.199,11,5,4,Refer a Friend
1162,68,12,82,0.002,1,8,4,Refer a Friend
1163,23,3,73,0.785,21,0,2,Purchase with Discount
1164,69,9,103,0.339,1,5,4,Refer a Friend
1165,14,5,58,0.325,23,0,1,Browse Products
1166,18,9,107,0.131,4,0,3,Purchase Full Price
1167,10,8,84,0.515,13,2,2,Purchase with Discount
1168,11,6,49,0.326,20,1,1,Browse Products
1169,12,6,157,0.396,10,8,4,Refer a Friend
1170,21,6,46,0.899,22,2,2,Purchase with Discount
1171,2,1,23,0.377,109,0,0,Ignore Offer
1172,14,2,58,0.479,86,0,0,Ignore Offer
1173,33,7,104,0.159,3,5,4,Refer a Friend
1174,8,4,16,0.052,95,0,0,Ignore Offer
1175,29,3,32,0.555,10,0,2,Purchase with Discount
1176,8,5,57,0.715,25,1,2,Purchase with Discount
1177,20,11,97,0.162,9,3,3,Purchase Full Price
1178,41,6,116,0.239,10,4,3,Purchase Full Price
1179,25,7,70,0.266,37,0,1,Browse Products
1180,21,8,138,0.029,4,3,3,Purchase Full Price
1181,35,7,120,0.095,1,3,3,Purchase Full Price
1182,3,2,59,0.561,41,1,1,Browse Products
1183,29,3,87,0.872,9,1,2,Purchase with Discount
1184,48,6,125,0.073,17,0,3,Purchase Full Price
1185,34,8,65,0.854,5,3,2,Purchase with Discount
1186,8,5,91,0.575,6,1,2,Purchase with Discount
1187,76,9,134,0.306,8,7,4,Refer a Friend
1188,10,3,46,0.485,95,1,0,Ignore Offer
1189,27,6,33,0.166,27,1,1,Browse Products
1190,7,3,40,0.275,53,0,0,Ignore Offer
1191,7,3,63,0.22,35,1,1,Browse Products
1192,6,5,90,0.712,17,1,2,Purchase with Discount
1193,13,6,162,0.354,1,3,4,Refer a Friend
1194,32,3,27,0.998,5,2,2,Purchase with Discount
1195,16,4,37,0.921,10,0,2,Purchase with Discount
1196,35,7,116,0.0,4,2,3,Purchase Full Price
1197,23,8,122,0.089,20,3,3,Purchase Full Price
1198,79,8,144,0.346,21,8,4,Refer a Friend
1199,17,6,64,0.555,12,0,2,Purchase with Discount
1200,9,1,45,0.357,118,0,0,Ignore Offer
1201,19,8,130,0.307,12,4,4,Refer a Friend
1202,57,5,148,0.25,26,7,4,Refer a Friend
1203,4,2,65,0.275,43,1,1,Browse Products
1204,6,5,51,0.24,24,1,1,Browse Products
1205,23,3,35,0.36,63,1,0,Ignore Offer
1206,52,9,143,0.251,9,8,4,Refer a Friend
1207,23,1,46,0.243,64,0,0,Ignore Offer
1208,34,12,112,0.082,12,0,3,Purchase Full Price
1209,10,9,64,0.039,10,1,3,Purchase Full Price
1210,9,5,68,0.318,23,1,1,Browse Products
1211,32,5,40,0.441,12,2,2,Purchase with Discount
1212,10,1,57,0.431,84,1,0,Ignore Offer
1213,31,8,69,0.275,11,5,4,Refer a Friend
1214,65,13,154,0.252,17,6,4,Refer a Friend
1215,28,4,58,0.79,16,2,2,Purchase with Discount
1216,8,2,81,0.287,12,1,1,Browse Products
1217,45,11,157,0.363,5,2,4,Refer a Friend
1218,30,1,80,0.388,41,1,1,Browse Products
1219,56,7,81,0.113,11,2,3,Purchase Full Price
1220,21,5,59,0.152,22,1,1,Browse Products
1221,52,7,73,0.163,12,2,3,Purchase Full Price
1222,33,8,79,0.471,14,0,2,Purchase with Discount
1223,21,2,35,0.301,90,1,0,Ignore Offer
1224,27,10,80,0.235,17,0,3,Purchase Full Price
1225,20,3,94,0.618,19,1,2,Purchase with Discount
1226,22,1,38,0.228,105,0,0,Ignore Offer
1227,29,7,33,0.611,16,0,2,Purchase with Discount
1228,47,11,114,0.319,16,4,4,Refer a Friend
1229,18,8,37,0.476,17,2,2,Purchase with Discount
1230,13,5,66,0.238,27,1,1,Browse Products
1231,34,4,83,0.906,20,1,2,Purchase with Discount
1232,10,3,45,0.331,56,0,0,Ignore Offer
1233,8,5,67,0.221,39,0,1,Browse Products
1234,11,5,37,0.383,26,1,1,Browse Products
1235,22,3,51,0.223,53,0,0,Ignore Offer
1236,25,3,38,0.178,29,1,1,Browse Products
1237,54,10,123,0.182,5,2,3,Purchase Full Price
1238,31,7,23,0.524,17,0,2,Purchase with Discount
1239,16,6,45,0.222,26,1,1,Browse Products
1240,27,11,72,0.315,16,3,4,Refer a Friend
1241,14,6,50,0.182,45,0,1,Browse Products
1242,3,2,50,0.45,59,0,0,Ignore Offer
1243,37,8,99,0.152,9,1,3,Purchase Full Price
1244,24,1,23,0.466,52,0,0,Ignore Offer
1245,47,8,80,0.148,17,1,3,Purchase Full Price
1246,13,3,39,0.344,63,0,0,Ignore Offer
1247,18,7,60,0.323,32,1,1,Browse Products
1248,34,13,78,0.073,12,0,3,Purchase Full Price
1249,11,1,51,0.439,72,1,0,Ignore Offer
1250,25,3,37,0.721,7,2,2,Purchase with Discount
1251,8,3,36,0.118,67,1,0,Ignore Offer
1252,15,2,43,0.289,55,1,0,Ignore Offer
1253,43,6,82,0.182,14,2,3,Purchase Full Price
1254,55,12,144,0.283,5,7,4,Refer a Friend
1255,10,9,75,0.765,6,1,2,Purchase with Discount
1256,21,11,84,0.174,12,3,3,Purchase Full Price
1257,22,4,68,0.486,14,2,2,Purchase with Discount
1258,23,2,27,0.135,86,1,0,Ignore Offer
1259,26,13,84,0.0,17,2,3,Purchase Full Price
1260,12,5,78,0.426,26,1,1,Browse Products
1261,50,12,128,0.057,8,1,3,Purchase Full Price
1262,2,3,37,0.479,61,1,0,Ignore Offer
1263,15,3,77,0.69,20,1,2,Purchase with Discount
1264,31,8,53,0.852,8,2,2,Purchase with Discount
1265,55,10,93,0.188,15,1,3,Purchase Full Price
1266,10,3,39,0.528,49,0,0,Ignore Offer
1267,43,9,87,0.0,7,0,3,Purchase Full Price
1268,18,9,124,0.242,26,4,4,Refer a Friend
1269,79,14,134,0.257,7,2,4,Refer a Friend
1270,35,6,49,0.934,15,1,2,Purchase with Discount
1271,19,3,58,0.449,38,1,1,Browse Products
1272,6,2,72,0.405,17,0,1,Browse Products
1273,83,7,139,0.28,13,6,4,Refer a Friend
1274,31,8,51,0.936,1,1,2,Purchase with Discount
1275,27,7,54,0.165,14,6,4,Refer a Friend
1276,26,3,35,0.329,43,0,1,Browse Products
1277,4,3,56,0.481,52,1,0,Ignore Offer
1278,24,7,89,0.589,4,3,2,Purchase with Discount
1279,39,13,110,0.209,14,2,3,Purchase Full Price
1280,13,3,71,0.284,41,1,1,Browse Products
1281,30,9,123,0.11,6,0,3,Purchase Full Price
1282,21,8,66,0.346,1,8,4,Refer a Friend
1283,20,6,54,0.368,22,1,1,Browse Products
1284,3,5,39,0.285,81,0,0,Ignore Offer
1285,84,7,161,0.204,11,2,4,Refer a Friend
1286,9,6,76,0.525,29,1,1,Browse Products
1287,25,6,69,0.493,31,0,1,Browse Products
1288,3,3,47,0.573,80,1,0,Ignore Offer
1289,5,3,26,0.162,107,1,0,Ignore Offer
1290,4,3,53,0.43,66,1,0,Ignore Offer
1291,34,6,104,0.058,1,2,3,Purchase Full Price
1292,6,4,32,0.298,90,0,0,Ignore Offer
1293,81,6,162,0.261,7,6,4,Refer a Friend
1294,16,4,38,0.362,118,0,0,Ignore Offer
1295,30,1,35,0.398,30,1,1,Browse Products
1296,3,5,61,0.223,28,1,1,Browse Products
1297,14,8,61,0.722,22,1,2,Purchase with Discount
1298,21,4,56,0.758,24,1,2,Purchase with Discount
1299,22,1,42,0.335,69,0,0,Ignore Offer
1300,20,1,37,0.226,50,0,0,Ignore Offer
