CustomerID,Tenure-Months,Orders-12Mos,Avg-Order-Value,Discount-Usage-Rate,Days-Since-Last-Purchase,Referral-Count,Target-Value,Target-Ref
1001,28,7,81,0.784,18,0,1,Discount-Responsive
1002,81,6,163,0.069,10,6,3,Advocate Likely
1003,8,1,62,0.191,20,1,0,Considering Purchase
1004,24,8,65,0.58,12,1,1,Discount-Responsive
1005,23,4,49,0.281,10,0,0,Considering Purchase
1006,45,15,127,0.033,2,2,3,Advocate Likely
1007,24,6,115,0.143,12,0,2,Ready to Buy
1008,24,7,32,0.63,9,1,1,Discount-Responsive
1009,6,3,71,0.42,35,0,0,Considering Purchase
1010,54,11,140,0.347,12,4,3,Advocate Likely
1011,10,2,76,0.536,26,1,0,Considering Purchase
1012,47,8,160,0.052,9,5,3,Advocate Likely
1013,36,6,34,0.517,23,1,1,Discount-Responsive
1014,32,9,95,0.003,19,0,2,Ready to Buy
1015,29,11,154,0.2,14,2,2,Ready to Buy
1016,33,6,95,0.147,21,4,3,Advocate Likely
1017,43,13,136,0.296,7,5,3,Advocate Likely
1018,23,1,79,0.446,26,1,0,Considering Purchase
1019,15,12,90,0.24,24,2,2,Ready to Buy
1020,18,13,129,0.038,9,3,2,Ready to Buy
1021,60,13,65,0.329,9,8,3,Advocate Likely
1022,18,2,45,0.333,29,0,0,Considering Purchase
1023,56,10,107,0.218,8,3,2,Ready to Buy
1024,72,7,135,0.345,12,7,3,Advocate Likely
1025,28,4,71,0.869,15,0,1,Discount-Responsive
1026,31,4,85,0.89,9,1,1,Discount-Responsive
1027,47,13,66,0.188,14,2,3,Advocate Likely
1028,38,11,126,0.175,4,2,2,Ready to Buy
1029,21,7,69,0.599,22,1,1,Discount-Responsive
1030,26,2,52,0.225,23,0,0,Considering Purchase
1031,79,10,69,0.233,11,3,3,Advocate Likely
1032,14,3,28,0.736,1,2,1,Discount-Responsive
1033,36,9,82,0.24,15,3,2,Ready to Buy
1034,24,1,29,0.223,36,0,0,Considering Purchase
1035,72,10,58,0.132,9,7,3,Advocate Likely
1036,48,8,115,0.0,4,1,2,Ready to Buy
1037,67,12,129,0.097,3,3,3,Advocate Likely
1038,9,5,55,0.651,13,1,1,Discount-Responsive
1039,21,9,54,0.823,12,1,1,Discount-Responsive
1040,6,2,57,0.345,32,0,0,Considering Purchase
1041,26,14,76,0.252,13,5,3,Advocate Likely
1042,54,13,156,0.158,19,4,3,Advocate Likely
1043,72,11,105,0.402,13,5,3,Advocate Likely
1044,6,6,27,0.405,46,0,0,Considering Purchase
1045,21,14,164,0.381,5,6,3,Advocate Likely
1046,33,7,47,0.895,19,2,1,Discount-Responsive
1047,48,10,150,0.0,10,8,3,Advocate Likely
1048,28,4,110,0.098,21,1,2,Ready to Buy
1049,18,7,71,0.147,14,1,2,Ready to Buy
1050,25,3,19,0.581,44,1,0,Considering Purchase
1051,12,5,29,0.343,25,0,0,Considering Purchase
1052,27,13,110,0.256,4,6,3,Advocate Likely
1053,22,7,51,0.534,27,0,0,Considering Purchase
1054,81,13,130,0.274,12,5,3,Advocate Likely
1055,14,2,77,0.693,14,1,1,Discount-Responsive
1056,34,7,58,0.5,7,0,1,Discount-Responsive
1057,46,6,69,0.237,4,1,2,Ready to Buy
1058,24,5,74,0.928,15,1,1,Discount-Responsive
1059,28,13,88,0.262,1,7,3,Advocate Likely
1060,45,11,72,0.0,12,2,2,Ready to Buy
1061,69,10,118,0.184,23,6,3,Advocate Likely
1062,73,12,108,0.219,10,8,3,Advocate Likely
1063,22,6,68,0.387,41,1,0,Considering Purchase
1064,28,14,62,0.187,23,6,3,Advocate Likely
1065,15,8,86,0.29,7,4,3,Advocate Likely
1066,33,7,91,0.17,1,0,2,Ready to Buy
1067,57,6,116,0.345,1,5,3,Advocate Likely
1068,24,6,67,0.731,16,0,1,Discount-Responsive
1069,17,4,34,0.274,26,0,0,Considering Purchase
1070,55,11,88,0.084,16,0,2,Ready to Buy
1071,23,3,42,0.575,45,1,0,Considering Purchase
1072,7,6,91,0.59,29,0,1,Discount-Responsive
1073,17,13,141,0.283,7,6,3,Advocate Likely
1074,48,13,114,0.251,14,2,3,Advocate Likely
1075,61,9,94,0.263,14,8,3,Advocate Likely
1076,14,5,60,0.436,38,0,0,Considering Purchase
1077,16,5,77,0.784,29,0,1,Discount-Responsive
1078,12,4,86,0.808,5,0,1,Discount-Responsive
1079,76,14,150,0.268,6,7,3,Advocate Likely
1080,52,7,122,0.0,20,1,2,Ready to Buy
1081,72,9,108,0.237,23,5,3,Advocate Likely
1082,20,8,92,0.055,26,2,2,Ready to Buy
1083,56,7,93,0.15,18,1,2,Ready to Buy
1084,9,11,65,0.066,17,1,2,Ready to Buy
1085,9,7,72,0.642,16,1,1,Discount-Responsive
1086,53,12,120,0.16,1,0,2,Ready to Buy
1087,19,4,25,0.45,26,1,0,Considering Purchase
